C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Al,Ti,Th,I,U,Ve,Strain,TCL
0.061,1.92,1.31,0.016,0.016,18.1,11.63,0.01,0.054,0,0.002,0,3.18,100,12,4.2,2.5,8.08
0.059,1.79,1.25,0.027,0.005,18.86,11.29,0.01,0.049,0,0.004,0,3.18,100,12,4.2,3.75,13.26
0.06,1.8,1.26,0.016,0.019,18.98,11.4,0.01,0.048,0,0.004,0,3.18,100,12,4.2,3.75,8.08
0.062,1.92,1.29,0.005,0.005,18.08,11.65,0.01,0.055,0,0.005,0,3.18,100,12,4.2,3.75,12.72
0.071,3.91,8.36,0.029,0.012,16.45,8.31,0,0.15,0,0.02,0,3,100,12.5,3.6,0.25,0
0.1,3.48,5.5,0.023,0.02,16.23,5.17,0,0.15,0,0.02,0,3,100,12.5,3.6,0.25,0
0.021,0.64,1.42,0.025,0.018,18.31,9.2,0.25,0.08,0,0.02,0,3,100,12.5,3.6,0.25,0
0.043,0.42,1.22,0.031,0.01,16.3,10.1,2.05,0.051,0,0.02,0,3,100,12.5,3.6,0.25,0
0.021,0.64,1.42,0.025,0.018,18.31,9.2,0.25,0.08,0,0.02,0,3,100,12.5,3.6,0.5,0
0.043,0.42,1.22,0.031,0.01,16.3,10.1,2.05,0.051,0,0.02,0,3,100,12.5,3.6,0.5,0
0.071,3.91,8.36,0.029,0.012,16.45,8.31,0,0.15,0,0.02,0,3,100,12.5,3.6,0.75,0.46
0.1,3.48,5.5,0.023,0.02,16.23,5.17,0,0.15,0,0.02,0,3,100,12.5,3.6,0.75,0
0.043,0.42,1.22,0.031,0.01,16.3,10.1,2.05,0.051,0,0.02,0,3,100,12.5,3.6,0.75,0
0.071,3.91,8.36,0.029,0.012,16.45,8.31,0,0.15,0,0.02,0,3,100,12.5,3.6,1,1.06
0.021,0.64,1.42,0.025,0.018,18.31,9.2,0.25,0.08,0,0.02,0,3,100,12.5,3.6,1,0
0.043,0.42,1.22,0.031,0.01,16.3,10.1,2.05,0.051,0,0.02,0,3,100,12.5,3.6,1,0
0.1,3.48,5.5,0.023,0.02,16.23,5.17,0,0.15,0,0.02,0,3,100,12.5,3.6,1.5,0.66
0.021,0.64,1.42,0.025,0.018,18.31,9.2,0.25,0.08,0,0.02,0,3,100,12.5,3.6,1.5,0.09
0.043,0.42,1.22,0.031,0.01,16.3,10.1,2.05,0.051,0,0.02,0,3,100,12.5,3.6,1.5,0
0.071,3.91,8.36,0.029,0.012,16.45,8.31,0,0.15,0,0.02,0,3,100,12.5,3.6,2.5,3.58
0.043,0.42,1.22,0.031,0.01,16.3,10.1,2.05,0.051,0,0.02,0,3,100,12.5,3.6,2.5,0.42
0.071,3.91,8.36,0.029,0.012,16.45,8.31,0,0.15,0,0.02,0,3,100,12.5,3.6,3.5,4.91
0.1,3.48,5.5,0.023,0.02,16.23,5.17,0,0.15,0,0.02,0,3,100,12.5,3.6,3.5,3.17
0.021,0.64,1.42,0.025,0.018,18.31,9.2,0.25,0.08,0,0.02,0,3,100,12.5,3.6,3.5,0.26
0.046,0.74,2.36,0.034,0.005,14.35,15.38,2.41,0.009,0,0.02,0.25,3,100,12.5,4.2,0.5,2.49
0.045,1,1.8,0.038,0.004,14.14,15.25,2.34,0.009,0,0.02,0.26,3,100,12.5,4.2,0.5,3.94
0.046,0.74,2.36,0.034,0.005,14.35,15.38,2.41,0.009,0,0.02,0.25,3,100,12.5,4.2,1,5.59
0.044,0.95,1.76,0.022,0.006,14.24,15.36,2.35,0.008,0,0.02,0.29,3,100,12.5,4.2,1,5.89
0.046,0.74,2.36,0.034,0.005,14.35,15.38,2.41,0.009,0,0.02,0.25,3,100,12.5,4.2,2,8.99
0.044,0.95,1.76,0.022,0.006,14.24,15.36,2.35,0.008,0,0.02,0.29,3,100,12.5,4.2,2,9.86
0.045,1,1.8,0.038,0.004,14.14,15.25,2.34,0.009,0,0.02,0.26,3,100,12.5,4.2,2,9.86
0.044,0.95,1.76,0.022,0.006,14.24,15.36,2.35,0.008,0,0.02,0.29,3,100,12.5,4.2,4,12.6
0.051,0.5,1.5,0.011,0.002,15.05,15.06,2.25,0.0093,0,0.02,0.32,3,100,12.5,4.2,0,0
0.051,0.5,1.5,0.011,0.002,15.05,15.06,2.25,0.0093,0,0.02,0.32,3,100,12.5,4.2,0.25,0.63
0.051,0.5,1.5,0.011,0.002,15.05,15.06,2.25,0.0093,0,0.02,0.32,3,100,12.5,4.2,0.5,0.78
0.051,0.5,1.5,0.011,0.002,15.05,15.06,2.25,0.0093,0,0.02,0.32,3,100,12.5,4.2,1,2.34
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,90,13,2.7,0.25,0
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,100,13,2.7,0.25,0
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,90,13,2.3,0.25,0
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,110,13,2.7,0.25,0
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,120,13,2.7,0.25,3.77
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,110,13,2.3,0.25,4.75
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,90,13,2.7,0.5,4.1
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,100,13,2.7,0.5,5.08
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,110,13,2.7,0.5,5.9
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,100,13,2.3,0.5,7.54
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,120,13,2.7,0.5,7.87
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,110,13,2.3,0.5,8.36
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,100,13,2.7,1,10.33
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,90,13,2.3,1,10.82
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,110,13,2.7,1,11.8
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,100,13,2.3,1,12.95
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,110,13,2.3,1,14.26
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,90,13,2.7,2,13.11
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,100,13,2.7,2,14.43
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,90,13,2.3,2,15.08
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,100,13,2.3,2,17.78
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,90,13,2.7,4,18.85
0.005,0.42,0.39,0.019,0.003,18.84,0.21,0,0.0055,0,0.015,0.2,4,100,10,2.5,0.8,0.1
0.007,0.39,0.37,0.019,0.004,18.1,0.21,0,0.01,0,0.043,0.78,4,100,10,2.5,0.8,0.1
0.005,0.42,0.39,0.019,0.003,18.84,0.21,0,0.0055,0,0.015,0.2,4,100,10,2.5,2,0.13
0.008,0.41,0.38,0.018,0.003,17.84,0.21,0,0.0089,0,0.024,0.4,4,100,10,2.5,2,0.13
0.007,0.39,0.37,0.019,0.004,18.1,0.21,0,0.01,0,0.043,0.78,4,100,10,2.5,2,0.79
0.008,0.4,0.38,0.014,0.004,18.04,0.21,0,0.0096,0,0.041,1.06,4,100,10,2.5,2,0.99
0.007,0.39,0.37,0.019,0.004,18.1,0.21,0,0.01,0,0.043,0.78,4,100,10,2.5,4,5.79
0.008,0.4,0.38,0.014,0.004,18.04,0.21,0,0.0096,0,0.041,1.06,4,100,10,2.5,4,4.9
0.06,0.39,0.87,0.01,0.003,19.94,33.95,0,0.02,0.05,0.19,0.42,6.5,170,14,2.55,0.5,4.07
0.08,0.08,0.93,0.008,0.004,19.55,32.47,0,0.018,0.05,0.4,0.49,6.5,170,14,2.55,0.5,0.27
0.07,0.15,0.81,0.008,0.003,20.42,32.83,0,0.017,0.04,0.47,0.44,6.5,170,14,2.55,0.5,0.15
0.06,0.39,0.87,0.01,0.003,19.94,33.95,0,0.02,0.05,0.19,0.42,6.5,170,14,2.55,1,5.95
0.05,0.26,0.63,0.008,0.004,19.88,31.88,0,0.019,0.05,0.3,0.42,6.5,170,14,2.55,1,2.6
0.07,0.15,0.81,0.008,0.003,20.42,32.83,0,0.017,0.04,0.47,0.44,6.5,170,14,2.55,1,2.85
0.08,0.08,0.93,0.008,0.004,19.55,32.47,0,0.018,0.05,0.4,0.49,6.5,170,14,2.55,1.5,5.29
0.05,0.26,0.63,0.008,0.004,19.88,31.88,0,0.019,0.05,0.3,0.42,6.5,170,14,2.55,1.5,6.98
0.07,0.15,0.81,0.008,0.003,20.42,32.83,0,0.017,0.04,0.47,0.44,6.5,170,14,2.55,1.5,6.53
